X,Y,Gush,Helka,Shem atar rashi,mispar siduri,ktuvet,Anaf peilut mezahamet,Peelut mezahemet,Matzav Minhali,Sug tipul,Status gas karka,Drisha lemigun mivnim,Moed thilat tipul,Moed sium tipul,Taarich idkun
241078,714270,23150,41,בריכות שפכים בית אלפא,7513,קיבוץ בית אלפא,,שפכים אחר,בסקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,,24.06.2021
214983,471694,39023,27,"כביש 90 קמ 104
",8009,כביש 90 קמ 104,,אחר,"נסתיימה סקירה, אין כרגע צורך בשיקום, ללא מכתב NFA",טרם נבדק,הוכח זיהום,טרם נבדק,,2011,17.06.2021
219185,633185,30235,363+364,הרקמה 1 י-ם,7506,הרקמה 1 ירושלים,,מוסך אחר,בסקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2013,16.06.2021
181805,674011,6592,80,מדיקל אפליקיישנס,6160,החושלים 11 ,,-,-,טרם נבדק,הוכח זיהום,לא,2013,2013,2015
181455,666120,6207,722,היצירה 29,7477,היצירה 29 רמת גן,,אחר,חקירה,-,------,------,,2014,
182482,665113,6167,591,השניים 24,7498,השניים 24 גבעתיים,,אחר,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2012,13.06.2021
183180,666630,6204,61,"הפודים 30, ר""ג",7496,הפודים 30 רמת גן,,אחר,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2011,13.06.2021
176700,574100,38014,"13-15, 29-30","משרדי כיל
",8008,הנגרים 29 באר שבע,,אחר,בסקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2011,08.04.2021
190687,652695,3977,3,"סונול, שער לוד",4225,דרך א.ה. סילבר,,תחנת תדלוק,חקירה,חקירה וסילוק,הוכח זיהום,לא,2005,2011,2021
183885,667220,6105,184,"ברוך הירש 24 ב""ב",7397,"ברוך הירש 24 ב""ב",,אחר,חקירה,חפירה וסילוק,הוכח זיהום,לא,2012,2011,2021
191026,663465,6811,41,"סונול - ספרינט, נחלים",4189,כביש 40. לוד-פ.ת,,תחנת תדלוק,בשיקום,חפירה וסילוק,נבדק ולא נמצא זיהום,לא,2009,2012,2021
170041,637878,2026,2,סונול אשדוד צפון,1116,"רח' המדע 35 , א.ת. צפוני",,תחנת תדלוק,לקראת שיקום,SVE,הוכח זיהום,לא,2003,2012,2021
206150,727090,11827,11,תחנת דלק- סונול שער הכרמל (אליקים),5030," צפון-מערבית לישוב ולמחלף אליקים, סמוך לכביש 70",,תחנת תדלוק,שוקם ויצא מכתב NFA,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,2018,2021
201675,745125,10902,51,תחנת דלק רם,2205,דרך בן יהודה,,תחנת תדלוק,בשיקום,BV,הוכח זיהום,לא,2008,2012,2021
168495,630474,2635,5,פז עד הלום,1058,"אזור התעשייה עד הלום, כביש אשדוד-אשקלון",,תחנת תדלוק,בשיקום,חקירה וסילוק,הוכח זיהום,לא,2011,2018,2021
190133,673626,6455,158,תחנת דלק סונול- רמתיים- הוד השרון,146498,דרך רמתים 63,,תחנת תדלוק,בשיקום,טרם נבדק,הוכח זיהום,לא,2011,2014,2021
230389,734114,11742,8,תחנת דלק- סונול נצרת עילית,5060,רחוב מעלה יצחק 17 בנצרת עילית,,תחנת תדלוק,"נסתיימה סקירה, אין צורך בשיקום, יצא מכתב NFA",חקירה וסילוק,------,------,,2018,2021
234509,751958,,,תחנת דלק סונול דייר חנא,127586,דייר חנא,,תחנת תדלוק,חקירה,-,לא נבדק ויש חשד,לא,2018,2019,2021
201980,552445,,,תחנת דלק סונול- אזור תעשיה דימונה,162978,אזור התעשייה,,תחנת תדלוק,"שוקם, ללא NFA",חקירה וסילוק,הוכח זיהום,טרם נבדק,2011,2016,2021
219742,574328,38499,3,סונול ערד,1047,בעיר ערד מול הקניון,,תחנת תדלוק,"שוקם, ללא NFA",SVE,הוכח זיהום,לא,2009,2013,2021
231129,732334,,,סונול אכסאל,179475,אכסאל,,תחנת תדלוק,חקירה,SVE,הוכח זיהום,לא,2007,2013,2021
188180,666390,6373,1013,"דלק, מפגש השרון",4177,זבוטינסקי 27,,תחנת תדלוק,בשיקום,חפירה וסילוק,הוכח זיהום,לא,2008,2012,2021
182754,640702,3800,105,דלק קרית עקרון,186168,דלק קרית עקרון,,תחנת תדלוק,חקירה,SVE,הוכח זיהום,לא,2008,2012,2021
184315,671097,6614,475,תחנת דלק מנטה -משה סנה רמת השרון,178193,רמת השרון,,תחנת תדלוק,בשיקום,אחר,נבדק ולא נמצא זיהום,לא,2012,2014,2021
186378,676936,7560,271,"דלק, כפר בתיה",4093,דרך ירושלים פינת אחוזה,,תחנת תדלוק,בשיקום,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2020,2017,2021
199804,746514,10857,133,"תחנת דלק הנביאים, דלק",2190,"רח' לבונטין 1, חיפה",,תחנת תדלוק,"שוקם, ללא NFA",-,לא נבדק ויש חשד,לא,2020,2013,2021
180316,571894,-,-,דלק דלרום,1087,דרך חברון 4,,תחנת תדלוק,בשיקום,חקירה וסילוק,הוכח זיהום,------,,2013,2021
197026,743953,10735,43,"תחנת דלק פרויד, דור אלון",2226,"כביש פרויד, צמוד לקניון חיפה",,תחנת תדלוק,"שוקם, ללא NFA",מחמצנים,הוכח זיהום,טרם נבדק,2013,2013,2021
204716,746991,11637,33,"תחנת דלק יוליוס סימון, דור אלון",2247,"דרך יוליוס סימון פינת קצנשטיין2, חיפה",,תחנת תדלוק,בשיקום,לא נדרש,הוכח זיהום,לא,01/01/2012,2013,2021
185230,651970,"""4221 4222 4238 4239""","""4221: 109 4222: 9,11,13,14,16,24,28-30,32-34,36,37,42 4238: 32 4239:6""","צריפין - מתחם 7 (תכניות 413-0595314,455-0595330)",7486," מצפון - ביה""ח שמיר אסף הרופא, ממזרח - דרך 44, ממערב - שטח הפארק האזורי ומדרום - מתחמים 1,2,3 בצריפין",,אחר,בסקירה,טרם נבדק,הוכח זיהום,טרם נבדק,2012,2013,12.05.2021
186061,651650,"""4220 4221 4223 4234""","""4220: 1-189 4221: 3-5,12,15-79,82-86,88-108 4223:1-15,18-22,31-38,43-45""",צריפין - מתחם 8 (תכנית 455-0780981),7487,"""מערבית לכביש מס' 44 , צפונית לכביש מס' 4313 ומזרחית למחנה צריפין """,,אחר,בסקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2013,12.05.2021
184600,652800,"""4235 4236 4237 4239""","4236: 14-17,35,39,42",צריפין - מתחם 6 (תכנית 413-0205112),7485,"""מצפון – שטחים חקלאיים, מדרום – בית חולים אסף הרופא ומחנה צריפין (מתחמים 4 ו 7- ), ממערב – מחנה צריפין (מתחם 5), ממזרח – בית חולים אסף . הרופא וכביש 4""",,אחר,בסקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2016,12.05.2021
205700,747425,11098,50,"תחנת דלק קרית חיים (קצנשטיין) , דור אלון",2238,"החיטה 1 קרית חיים, חיפה",,תחנת תדלוק,שוקם ויצא מכתב NFA,-,------,------,,2013,2021
239059,742474,16620,71,תחנת דלק- דלק צומת גולני דרום (31),5078,"כ. טבריה-נצרת, צומת גולני  מסלול דרומי",,תחנת תדלוק,חקירה,לא נדרש,הוכח זיהום,טרם נבדק,2014,2014,2021
196408,745477,11347,,"תחנת דלק בת שלמה, דלק",2183,"כביש  70 , כ: 1 ק''מ מזרחית לבת שלמה",,תחנת תדלוק,"שוקם, ללא NFA",חקירה וסילוק,הוכח זיהום,לא,2009,2013,2021
195557,385914,40001,89,דלק ברשף אילת,1009,"בכניסה לאילת, מערביית לכביש 90 (דרך הערבה), צפונית לרח' תנובה",,תחנת תדלוק,חקירה,חקירה וסילוק,נבדק ולא נמצא זיהום,לא,2006,2017,2021
240872,713704,23151,138,תחנת דלק בית אלפא,331265,בית אלפא,,תחנת תדלוק,הוגש מנגנון תעדוף לבדיקה,טרם נבדק,------,------,,2014,2021
244569,756605,,,תחנת דלק אלון קדרים,169263,קדרים,,תחנת תדלוק,-,חקירה וסילוק,הוכח זיהום,לא,2011,2013,2021
219702,573631,38207,1,דור אלון ערד,1013,"כביש מס' 31, בכניסה הצפונית לערד",,תחנת תדלוק,בשיקום,לא נדרש,לא נבדק ויש חשד,טרם נבדק,2011,2013,2021
182298,654569,3942,165,"דלק, שערי ראשון",4217,טוליפמן 1. אזור תעשיה ישן,,תחנת תדלוק,בשיקום,SVE,הוכח זיהום,לא,אין דרישה,2019,2021
196684,743715,10730,87,"תחנת דלק מ.ת.מ., דלק",2200,"מרכז תעשיות מדע, חיפה",,תחנת תדלוק,"שוקם, ללא NFA",חפירה וסילוק,נבדק ולא נמצא זיהום,לא,2010,2014,2021
178327,655725,6097,219,שיא אנרגיה- תחנת דלק- ראשלצ,165658,לזרוב 7,,תחנת תדלוק,לפני סקירה,חקירה וסילוק,------,------,,2017,2021
264085,745271,200001,2,תחנת דלק- סונול גבעת יואב,5090,"מרכז הישוב  'גבעת יואב',",,תחנת תדלוק,חקירה,לא נדרש,הוכח זיהום,לא,2009,2017,2021
246811,711829,22917,62,תחנת דלק- פז בית שאן,5003,"דרך שאול המלך 304, בית שאן",,תחנת תדלוק,בשיקום,חקירה וסילוק,הוכח זיהום,לא,2001,2018,2021
188382,667238,6362,238,"פז, אצטדיון - פ.ת",4154,רח גיסין 37 - קרית אריה,,תחנת תדלוק,בשיקום,לא נדרש,הוכח זיהום,לא,2010,2017,2021
218891,633050,30235,359,פז העשור,3120,שד ויצמן 2,,תחנת תדלוק,בשיקום,חפירה וסילוק,הוכח זיהום,לא,2008,2018,2021
243332,712482,20963,8,תחנה פנימית,159147,קיבוץ ניר דוד,,אחר,חקירה,חפירה וסילוק,הוכח זיהום,לא,2010,2013,11.05.2021
256925,790395,13125,40,תחנה פנימית,231043,מושב בית הלל,,-,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,2013,10.05.2021
